pp_player,pp_team,pp_pos,stat,line,odds_type,status,start_time
Chris Sale,ATL,P,Pitcher Strikeouts,8.0,standard,pre_game,2026-08-08T15:05:00.000-04:00
Gerrit Cole,NYY,P,Pitches Thrown,103.5,demon,pre_game,2026-08-08T15:05:00.000-04:00
Chris Sale,ATL,P,Pitches Thrown,99.5,demon,pre_game,2026-08-08T15:05:00.000-04:00
Gerrit Cole,NYY,P,Pitches Thrown,97.5,standard,pre_game,2026-08-08T15:05:00.000-04:00
Chris Sale,ATL,P,Pitches Thrown,93.5,standard,pre_game,2026-08-08T15:05:00.000-04:00
Gerrit Cole,NYY,P,Pitches Thrown,92.5,goblin,pre_game,2026-08-08T15:05:00.000-04:00
Chris Sale,ATL,P,Pitches Thrown,88.5,goblin,pre_game,2026-08-08T15:05:00.000-04:00
Chris Sale,ATL,P,Pitcher Fantasy Score,49.5,demon,pre_game,2026-08-08T15:05:00.000-04:00
Chris Sale,ATL,P,Pitcher Fantasy Score,42.5,standard,pre_game,2026-08-08T15:05:00.000-04:00
Gerrit Cole,NYY,P,Pitcher Fantasy Score,39.5,demon,pre_game,2026-08-08T15:05:00.000-04:00
Chris Sale,ATL,P,Pitcher Fantasy Score,33.5,goblin,pre_game,2026-08-08T15:05:00.000-04:00
Gerrit Cole,NYY,P,Pitcher Fantasy Score,32.5,standard,pre_game,2026-08-08T15:05:00.000-04:00
Gerrit Cole,NYY,P,Batters Faced,24.5,standard,pre_game,2026-08-08T15:05:00.000-04:00
Gerrit Cole,NYY,P,Pitcher Fantasy Score,23.5,goblin,pre_game,2026-08-08T15:05:00.000-04:00
Chris Sale,ATL,P,Batters Faced,23.5,standard,pre_game,2026-08-08T15:05:00.000-04:00
Matt Olson,ATL,IF,Pitches Seen,17.5,standard,pre_game,2026-08-08T15:05:00.000-04:00
Paul Goldschmidt,NYY,IF,Pitches Seen,17.5,standard,pre_game,2026-08-08T15:05:00.000-04:00
Drake Baldwin,ATL,C,Pitches Seen,17.5,standard,pre_game,2026-08-08T15:05:00.000-04:00
Ronald Acuña Jr.,ATL,OF,Pitches Seen,16.5,standard,pre_game,2026-08-08T15:05:00.000-04:00
Ben Rice,NYY,IF,Pitches Seen,15.5,standard,pre_game,2026-08-08T15:05:00.000-04:00
Heliot Ramos,NYY,OF,Pitches Seen,15.5,standard,pre_game,2026-08-08T15:05:00.000-04:00
Michael Harris II,ATL,OF,Pitches Seen,13.5,standard,pre_game,2026-08-08T15:05:00.000-04:00
Michael Harris II,ATL,OF,Hitter Fantasy Score,11.5,demon,pre_game,2026-08-08T15:05:00.000-04:00
Amed Rosario,NYY,IF,Pitches Seen,11.5,standard,pre_game,2026-08-08T15:05:00.000-04:00
Ronald Acuña Jr.,ATL,OF,Hitter Fantasy Score,10.5,demon,pre_game,2026-08-08T15:05:00.000-04:00
Matt Olson,ATL,IF,Hitter Fantasy Score,10.5,demon,pre_game,2026-08-08T15:05:00.000-04:00
Drake Baldwin,ATL,C,Hitter Fantasy Score,10.5,demon,pre_game,2026-08-08T15:05:00.000-04:00
Ozzie Albies,ATL,IF,Hitter Fantasy Score,8.5,demon,pre_game,2026-08-08T15:05:00.000-04:00
Ben Rice,NYY,IF,Hitter Fantasy Score,8.5,demon,pre_game,2026-08-08T15:05:00.000-04:00
Mike Yastrzemski,ATL,OF,Hitter Fantasy Score,8.5,demon,pre_game,2026-08-08T15:05:00.000-04:00
Austin Riley,ATL,IF,Hitter Fantasy Score,8.5,demon,pre_game,2026-08-08T15:05:00.000-04:00
Heliot Ramos,NYY,OF,Hitter Fantasy Score,7.5,demon,pre_game,2026-08-08T15:05:00.000-04:00
Trent Grisham,NYY,OF,Hitter Fantasy Score,7.5,demon,pre_game,2026-08-08T15:05:00.000-04:00
Paul Goldschmidt,NYY,IF,Hitter Fantasy Score,7.5,demon,pre_game,2026-08-08T15:05:00.000-04:00
José Caballero,NYY,IF,Hitter Fantasy Score,6.5,demon,pre_game,2026-08-08T15:05:00.000-04:00
Jim Jarvis,ATL,IF,Hitter Fantasy Score,6.5,demon,pre_game,2026-08-08T15:05:00.000-04:00
Ronald Acuña Jr.,ATL,OF,Hitter Fantasy Score,5.5,standard,pre_game,2026-08-08T15:05:00.000-04:00
Michael Harris II,ATL,OF,Hitter Fantasy Score,5.5,standard,pre_game,2026-08-08T15:05:00.000-04:00
Drake Baldwin,ATL,C,Hitter Fantasy Score,5.5,standard,pre_game,2026-08-08T15:05:00.000-04:00
Amed Rosario,NYY,IF,Hitter Fantasy Score,5.5,demon,pre_game,2026-08-08T15:05:00.000-04:00
Spencer Jones,NYY,OF,Hitter Fantasy Score,5.5,demon,pre_game,2026-08-08T15:05:00.000-04:00
Matt Olson,ATL,IF,Hitter Fantasy Score,5.0,standard,pre_game,2026-08-08T15:05:00.000-04:00
Ozzie Albies,ATL,IF,Hitter Fantasy Score,5.0,standard,pre_game,2026-08-08T15:05:00.000-04:00
Ben Rice,NYY,IF,Hitter Fantasy Score,5.0,standard,pre_game,2026-08-08T15:05:00.000-04:00
Heliot Ramos,NYY,OF,Hitter Fantasy Score,4.5,standard,pre_game,2026-08-08T15:05:00.000-04:00
