game,team,slot,pos,player,player_id,bats,opp_sp,sp_throws,matchup,side_form,side_pa,sp_pa,mix,mix_xwobacon,mix_barrel,mix_ev,mix_la,mix_bbe,dmg_mult,hr_mult,k_mult,exp_pa,proj_fp,naive_fp,pgs,proj_tb,proj_hits,proj_bb,proj_r,proj_rbi,proj_sb,hr_prob,hit_prob,park_hr,park_xbh,park_1b,park_runs,free_swinger,conf,bpp_tags,flags,recency_ratio,w21_mix_xw,mix_bbe_21,rev_platoon,fs_line,win_pct,win_pct_raw,edge_vs_flex
CIN@WAS,WSH,1,,CJ Abrams,682928,L,Chase Burns,R,OPP,348PA,348,316,FB 59/BRK 33/OFF 8,0.571,11.8,89.4,19.7,67,1.17,1.33,1.0,4.81,14.1,10.44,3.58,3.3,1.58,0.58,0.82,0.72,0.24,39.8,73.0,1.12,1.06,1.02,1.07,,HIGH,BPP HR +435,"LINEUP-PROJ,RAIN,RECENCY-HOT",1.205,0.774,33,,5.5,68.7,78.5,14.5
CHC@KC,CHC,2,,Pete Crow-Armstrong,691718,L,Seth Lugo,R,OPP,350PA,350,372,FB 53/BRK 35/OFF 12,0.592,12.4,89.0,21.7,61,1.19,1.35,1.07,4.7,12.63,10.48,2.07,2.76,1.34,0.67,0.72,0.75,0.23,29.0,70.7,1.21,1.03,1.02,1.1,,HIGH,BPP: RC+20% HR+4%; BPP HR +357,"LINEUP-PROJ,RAIN",1.086,0.727,35,,8.5,49.8,60.8,-4.4
CHC@KC,CHC,3,,Seiya Suzuki,673548,R,Seth Lugo,R,SAME,320PA,320,197,FB 50/BRK 47/OFF 3,0.528,11.2,88.1,17.4,69,1.11,1.24,1.04,4.57,11.54,8.33,3.13,2.61,1.34,0.59,0.75,0.87,0.04,29.3,68.2,1.21,1.03,1.02,1.1,,HIGH,BPP: RC+23% HR+26%; BPP HR +357,"LINEUP-PROJ,RAIN,RECENCY-HOT",1.179,0.689,36,YES,6.5,56.0,67.7,1.8
CHC@KC,KC,2,,Salvador Perez,521692,R,Clay Holmes,R,SAME,345PA,345,89,FB 64/BRK 32/OFF 4,0.489,9.4,90.1,13.8,75,1.06,1.15,1.02,4.7,11.49,7.5,3.91,2.66,1.41,0.46,0.88,0.86,0.0,30.7,64.4,1.21,1.03,1.02,1.1,,MED,,"LINEUP-PROJ,RAIN,SP-SMALL-SAMPLE,RECENCY-HOT",1.371,0.675,48,YES,4.5,71.6,80.5,17.4
CIN@WAS,CIN,1,,Elly De La Cruz,682829,L,Andrew Alvarez,L,SAME,128PA,128,81,BRK 55/FB 45,0.595,15.5,92.6,8.0,20,1.2,1.36,0.93,4.81,11.43,9.59,1.76,2.43,1.3,0.68,0.69,0.52,0.24,22.7,72.7,1.12,1.06,1.02,1.07,,MED,,"LINEUP-PROJ,RAIN,SP-SMALL-SAMPLE,RECENCY-THIN",1.0,,0,YES,8.0,44.6,56.2,-9.6
TOR@PHI,PHI,2,,Bryce Harper,547180,L,Max Scherzer,R,OPP,309PA,309,96,FB 49/BRK 30/OFF 20,0.576,11.7,91.3,14.4,69,1.17,1.3,1.04,4.73,11.29,8.64,2.57,2.61,1.21,0.66,0.68,0.76,0.05,31.3,69.8,1.42,0.93,0.95,1.12,,MED,BPP HR +410; BvP 7/26 4HR 1.232OPS,"LINEUP-PROJ,RAIN",1.009,0.648,34,,6.0,53.5,64.3,-0.7
ATL@NYY,ATL,2,,Matt Olson,621566,L,Gerrit Cole,R,OPP,301PA,301,200,FB 48/BRK 29/OFF 20,0.582,16.2,91.4,17.8,63,1.18,1.45,0.99,4.66,11.09,9.43,1.58,2.7,1.23,0.54,0.71,0.78,0.0,34.3,67.7,1.21,0.94,0.99,1.07,,HIGH,BPP HR +383,"LINEUP-PROJ,RAIN",1.085,0.686,27,,5.0,54.8,65.3,0.6
ATH@BOS,BOS,5,,Andruw Monasterio,655316,R,Gage Jump,L,OPP,96PA,96,212,FB 51/BRK 38/OFF 11,0.513,14.3,91.0,17.9,35,1.09,1.45,0.88,4.42,11.03,8.69,2.26,2.66,1.41,0.51,0.62,0.74,0.06,22.6,74.7,1.05,1.23,1.1,1.17,,HIGH,,"LINEUP-PROJ,RAIN,RECENCY-THIN",1.027,0.583,8,,4.5,73.6,82.2,19.4
CIN@WAS,WSH,5,,Daylen Lile,695734,L,Chase Burns,R,OPP,361PA,361,316,FB 59/BRK 33/OFF 8,0.471,14.6,90.7,19.6,78,1.04,1.45,0.99,4.28,11.02,8.15,2.79,2.61,1.26,0.37,0.62,0.82,0.11,30.6,66.2,1.12,1.06,1.02,1.07,,HIGH,,"LINEUP-PROJ,RAIN,RECENCY-HOT",1.156,0.617,38,,5.0,56.0,67.0,1.8
TOR@PHI,TOR,2,,George Springer,543807,R,Aaron Nola,R,SAME,280PA,280,204,FB 57/BRK 37/OFF 6,0.458,8.5,90.2,9.6,60,1.02,1.02,0.97,4.73,10.82,7.99,2.75,2.39,1.25,0.47,0.74,0.74,0.11,26.6,67.8,1.42,0.93,0.95,1.12,,HIGH,BPP HR +329,"LINEUP-PROJ,RAIN,RECENCY-HOT",1.108,0.506,39,YES,5.5,57.3,68.8,3.1
