player,team,game,opp_sp,yesterday,process_score,mix_overlap,hr_prob_today,proj_fp,pgs,da_score
Salvador Perez,KC,CHC@KC,Clay Holmes,"0 barrel(s), 1 near, 1 deep out(s), max 106 mph / 400 ft",4.5,0.64,30.7,11.49,3.91,10.48
Wilyer Abreu,BOS,ATH@BOS,Gage Jump,"1 barrel(s), 1 near, 1 deep out(s), max 102 mph / 378 ft",4.5,0.5,24.2,10.63,2.57,7.24
Bryan Reynolds,PIT,NYM@PIT,Robert Stock,"1 barrel(s), 1 near, 1 deep out(s), max 108 mph / 380 ft",5.5,0.72,13.4,7.73,-0.02,5.99
Dylan Crews,WSH,CIN@WAS,Chase Burns,"1 barrel(s), 1 near, 1 deep out(s), max 101 mph / 404 ft",5.5,0.54,14.6,8.31,0.82,5.55
Pete Alonso,BAL,BAL@TEX,Jacob deGrom,"1 barrel(s), 1 near, 1 deep out(s), max 104 mph / 382 ft",4.5,0.44,16.6,8.97,0.44,4.7
Willi Castro,COL,COL@STL,Matthew Liberatore,"1 barrel(s), 1 near, 0 deep out(s), max 111 mph / 364 ft",4.0,0.5,13.3,7.56,-0.34,3.54
Anthony Seigler,BOS,ATH@BOS,Gage Jump,"1 barrel(s), 1 near, 1 deep out(s), max 100 mph / 377 ft",4.5,0.5,11.5,6.95,0.9,3.45
Mickey Moniak,COL,COL@STL,Matthew Liberatore,"1 barrel(s), 1 near, 1 deep out(s), max 104 mph / 375 ft",4.5,0.5,11.2,6.83,-0.7,3.35
Nathan Church,STL,COL@STL,Kyle Freeland,"1 barrel(s), 0 near, 1 deep out(s), max 98 mph / 373 ft",3.5,0.61,9.9,6.47,0.38,2.57
Caleb Durbin,BOS,ATH@BOS,Gage Jump,"1 barrel(s), 0 near, 1 deep out(s), max 98 mph / 381 ft",3.5,0.51,10.5,9.69,0.56,2.47
Ryan Jeffers,MIN,MIN@MIL,Robert Gasser,"1 barrel(s), 0 near, 0 deep out(s), max 109 mph / 346 ft",3.0,0.64,10.5,5.97,-1.24,2.39
Leody Taveras,BAL,BAL@TEX,Jacob deGrom,"1 barrel(s), 0 near, 0 deep out(s), max 109 mph / 356 ft",3.0,0.44,12.1,6.57,-0.26,2.27
Isaac Paredes,HOU,HOU@SD,Michael King,"0 barrel(s), 1 near, 0 deep out(s), max 105 mph / 264 ft",2.0,0.51,13.2,7.64,-0.02,1.78
